"Name","Unique_ID__c","Task_Name__c","Task_Flow__r.Unique_ID__c","Schedule__r.Unique_ID__c","Abort_On_Failure__c","Description__c","Failure_Emails__c","Last_Scheduled_Date__c","Max_Retry_Count__C","Order__c","PostProcessing_Script__c","PreProcessing_Script__c","Retry_If_Fail__c","Success_Emails__c","Warning_Emails__c"
"TSK00000029","VFGE_COL_REPORT","VFGE_COL_Report",,,"true","Simulates Connected Operators Report",,,,"1.0","/home/sip/salesforce/scripts/colReportAfter.sh","/home/sip/salesforce/scripts/colReportBefore.sh","true",,
"TSK00000030","VFGE_IOT_SYNC_2ND_PARTICIPANT","VFGE_IOT_Sync_2nd_Participant","VFGE_IOT_SYNC",,"true","Extract the 2nd Participant IDs from SFDC.",,,,"1.0",,,"false",,
"TSK00000031","VFGE_IOT_SYNC_1ST_PARTICIPANT","VFGE_IOT_Sync_1st_Participant","VFGE_IOT_SYNC",,"true","Extract the 1st Participant IDs from SFDC.",,,,"2.0",,,"false",,
"TSK00000032","VFGE_IOT_SYNC_DEAL","VFGE_IOT_Sync_Deal","VFGE_IOT_SYNC",,"true",,,,,"3.0",,,"false",,
"TSK00000033","VFGE_IOT_SYNC_PERIOD","VFGE_IOT_Sync_Period","VFGE_IOT_SYNC",,"true",,,,,"4.0",,,"false",,
"TSK00000034","VFGE_IOT_SYNC_HISTORICAL","VFGE_IOT_Sync_Historical","VFGE_IOT_SYNC",,"true",,,,,"5.0",,,"false",,
"TSK00000035","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES","VFGE_IOT_Sync_History_Close_Open_Ones","VFGE_IOT_SYNC",,"true",,,,,"6.0",,,"false",,
"TSK00000036","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS","VFGE_IOT_Sync_History_Start_New_Process","VFGE_IOT_SYNC",,"true",,,,,"7.0",,,"false",,
"TSK00000037","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID","VFGE_IOT_Sync_Get_Current_Process_Id","VFGE_IOT_SYNC",,"true",,,,,"8.0",,,"false",,
"TSK00000038","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES","VFGE_IOT_Sync_History_Import_CSV_Files","VFGE_IOT_SYNC",,"true",,,,,"9.0",,,"false",,
"TSK00000039","VFGE_IOT_SYNC_DELETE_OLD_DATA","VFGE_IOT_Sync_Delete_Old_Data","VFGE_IOT_SYNC",,"true",,,,,"10.0","/home/sip/salesforce/scripts/chooseProcessingFiles.sh",,"false",,
"TSK00000040","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL","VFGE_IOT_Sync_Import_Flat_Deal","VFGE_IOT_SYNC",,"true",,,,,"11.0",,,"false",,
"TSK00000041","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS","VFGE_IOT_Sync_Import_Flat_discount_periods","VFGE_IOT_SYNC",,"true",,,,,"12.0",,,"false",,
"TSK00000042","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO","VFGE_IOT_Sync_Import_Flat_vf_opco","VFGE_IOT_SYNC",,"true",,,,,"13.0",,,"false",,
"TSK00000043","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY","VFGE_IOT_Sync_Import_Flat_3rd_party","VFGE_IOT_SYNC",,"true",,,,,"14.0",,,"false",,
"TSK00000044","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA","VFGE_IOT_Sync_History_Uploading_Data","VFGE_IOT_SYNC",,"true",,,,,"16.0",,,"false",,
"TSK00000045","VFGE_IOT_SYNC_POPULATE_DEAL","VFGE_IOT_Sync_Populate_Deal","VFGE_IOT_SYNC",,"true",,,,,"15.0",,,"false",,
"TSK00000046","VFGE_IOT_SYNC_3RD_PARTY_DELETE","VFGE_IOT_Sync_3rd_party_DELETE","VFGE_IOT_SYNC",,"true",,,,,"17.0",,,"false",,
"TSK00000047","VFGE_IOT_SYNC_VF_OPCO_DELETE","VFGE_IOT_Sync_vf_opco_DELETE","VFGE_IOT_SYNC",,"true",,,,,"18.0",,,"false",,
"TSK00000048","VFGE_IOT_SYNC_PERIOD_DELETE","VFGE_IOT_Sync_period_DELETE","VFGE_IOT_SYNC",,"true",,,,,"19.0",,,"false",,
"TSK00000049","VFGE_IOT_SYNC_DEAL_DELETE","VFGE_IOT_Sync_deal_DELETE","VFGE_IOT_SYNC",,"true",,,,,"20.0",,,"false",,
"TSK00000050","VFGA_GLL_REPORT","VFGA_GLL_Report",,"DAILY_AT_2300","false",,,"2016-07-20 00:00:00",,"1.0","/home/sip/salesforce/scripts/gllReportAfter.sh",,"false",,
"TSK00000051","VFGE_IOT_SYNC_DEAL_INSERT","VFGE_IOT_Sync_deal_INSERT","VFGE_IOT_SYNC",,"true",,,,,"21.0",,,"false",,
"TSK00000052","VFGE_IOT_SYNC_PERIOD_INSERT","VFGE_IOT_Sync_period_INSERT","VFGE_IOT_SYNC",,"true",,,,,"22.0",,,"false",,
"TSK00000053","VFGE_IOT_SYNC_1ST_PARTICIPANT_INSERT","VFGE_IOT_Sync_1st_participant_INSERT","VFGE_IOT_SYNC",,"true",,,,,"23.0",,,"false",,
"TSK00000054","VFGE_IOT_SYNC_2ND_PARTICIPANT_INSERT","VFGE_IOT_Sync_2nd_participant_INSERT","VFGE_IOT_SYNC",,"true",,,,,"24.0",,,"false",,
"TSK00000055","VFGE_IOT_SYNC_HISTORY_WAITING_SYNC","VFGE_IOT_Sync_History_Waiting_Sync","VFGE_IOT_SYNC",,"true",,,,,"25.0",,,"false",,
"TSK00000056","SYS_PURGE_SERVER_AUDIT","SYS_PURGE_SERVER_AUDIT","SYS_PURGE_AUDIT_AND_LOGS",,"false",,,,,"1.0",,,"false",,
"TSK00000057","SYS_PURGE_SERVER_LOGS","SYS_PURGE_SERVER_LOGS","SYS_PURGE_AUDIT_AND_LOGS",,"false",,,,,"2.0","gzip -f -9 /home/sip/log.archive/*.log;",,"false",,
